Date Published,Rating,Max Rating,Author,Country,Title,Review Body,Type Of Traveller,Seat Type,Date Flown,Aircraft,Route,From,Via,To,Verified,Recommended
2024-02-29,1.0,10.0,Wayne Burgess,Australia,"""no attempt to address our complaint""","  I have sent 5 emails and have only received 2 automatic response emails after initiating our complaint 10 weeks ago. I have sent all of the relevant documentation to support our claim for a refund. Our group of 3 booked adjoining Exit Row seats on the Upper Deck of an A380 from Doha to Perth after a connecting flight from Amman. We paid for our Exit Row seats on August 22 2023 and received email confirmation that day. What was a shock to us is that when we were at Amman airport we got our tickets for the second leg, from Doha to Perth, we saw that we had been seats on the lower deck. We said this was wrong and showed our August confirmation for seats 30 A, B and C on the upper deck. We were told by Qatar Airways staff in Amman that it could only be fixed up in Doha. We were also told that the reason was that the plane had been changed from an A380 (which was not correct) . Our connecting flight from Amman to Doha was not only cancelled but deleted altogether meaning we had a 10.5 hour transit instead of the original 2.5 hours. Then at the Boarding Gate in Amman we were informed that there were 2 Exit Row seats available in the Upper Deck and that these had been put on hold for us and to see the Qatar Ground staff in Doha. We were in a queue for almost an hour at the Qatar Service Desk in Doha. I asked how the seats we had booked and paid extra for in August, and provided emails and a hard copy to verify this, were no longer available for us? We were told that it was a system error. There was no apology at all for the system error. We were further disappointed to find out that the 2 Exit Row seats on the Upper Deck that we had been told by staff at the boarding Gate at Amman had been “reserved” were not actually retained for us and that only 1 Exit Row seat was available. Understandably we were not happy that we did not receive the Exit Row seats that we had booked and paid for more than 3 months prior. Through no fault of our own we were victims of a Qatar Airways system error. We did not complain to the flight attendants on the Doha to Perth flight as we understood that they had no control over the seat allocation. However, we politely asked the people in seats 30A and 30B, that we had paid for in August, when they had purchased their seats and were informed that they had done so about 2 weeks prior. I chose Exit Row seats on the Upper Deck because of the extra space and the cabin configuration of 2 by 4 by 2 seats and because my wife and I would be seated next to each other and the other member of our group would be in the next available Exit Row seat. Instead of all being seated next to each other in Exit Row seats we were split up and certainly didn’t get what we paid for. Plus all of the wasted time trying unsuccessfully in Amman and then at the Transit Desk in Doha to sort out the error created by Qatar Airways assigning our seats to someone else. It is bad enough that we didn’t get 2 of the Exit Row seats that we had paid for that were allocated to other people who booked well after us. What is worse is that there has been no attempt by Qatar Airways to address our complaint let alone issue the refund to which we are entitled. Our complaint isn’t complex.",Business,Economy Class,November 2023,A380,Doha to Perth,Doha,Direct,Perth,1.0,no
2024-02-25,10.0,10.0,Alwaleed Althani,Qatar,“I hope they update the A380”, We flew on probably the first A380 the airline received but it’s up keep is very good the caviar was excellent and the rack of lamb was perfect the entertainment system though the screens were huge and not very cooperative it is very dated as for WiFi was bad to say the least. The seating in First Class was good and the toilets are huge I hope they update the A380.,Couple Leisure,First Class,February 2024,A380-800,Doha to London Heathrow,Doha,Direct,London,1.0,Yes
2024-02-22,7.0,10.0,W Warnock,United Kingdom,"""I’d rate them maybe 7/10""","  Service was ok, pretty good on my aisle and extremely slow where my wife was seated. Layout was good, but not exceptional, I’d rate them maybe 7/10. Landing in Doha, we then had quite a long wait for steps to be brought to the aircraft and then a 10 to 15 minute bus ride to the terminal. There is a lot of competition for routes from Europe to Australasia and think I’ll pick one of the other options in future.",Couple Leisure,Business Class,February 2024,A350,Auckland to Doha,Auckland,Direct,Doha,1.0,no
2024-02-20,10.0,10.0,Qandeel Ahtasham,United Kingdom,"""remarkable experience"""," 12th February 2024 From check in to get onboard remarkable experience. Since steping at Hamad International airport every one was so welcoming. Check in agent was very professional and helpful. Al mourjan lounge was realy good. Great tasting food. On board all cabin crew was kind professional welcoming. Seat very good, leg space and incredible service, and a very clean plane. Inflight entertainment was great too. The staff was very polite. Arriving at London, Qatar staff gave me Fast track card that helps me to pass imigration quick. Thank you Qatar Airways.",Family Leisure,Business Class,February 2024,A380,Doha to London,Doha,Direct,London,1.0,Yes
2024-02-20,10.0,10.0,N Foster,United States,“incredible service”,"  Remarkable experience. Great tasting food, leg space and incredible service, and a very clean plane. Inflight entertainment was great too. The staff was very polite.",Family Leisure,Economy Class,February 2024,A350-1000,New Delhi to San Francisco,New Delhi,Direct,San Francisco,0.0,Yes
2024-02-16,7.0,10.0,C Barker,Germany,"""not the extraordinary experience""","  My last travel in January 2024 the food quality and presentation had deteriorated and the service. During  booking one has to pay for seats in case one does not want to wait until check-in. On the first leg the crew mechanically did their job. It is ok, but not what you expect from Qatar Airways. Amenity kits are not provided any longer on every flight during the night. Nonetheless you sometimes still find the old welcoming and service oriented Qatar Airways spirit. The crew on the second leg was outstanding as well as ground staff at JRO. Flying Qatar Airways is still a good value for money, but it was not the extraordinary experience.",Couple Leisure,Economy Class,January 2024,Boeing 787-9 / A330-300,Dusseldorf to Kilimanjaro via Doha,Düsseldorf,Doha,Kilimanjaro,1.0,no
2024-02-15,10.0,10.0,B Darnel,Germany,"""can’t get it any better""","  What a trip, highest level possible, probably. Lounge in Frankfurt a bit underwhelming as Qatar uses Priority Pass Lounge that isn’t up to Qatar‘s standards. From boarding the plane in Frankfurt to Doha, transferring in Doha, visiting their business class lounge there and onward flight from Doha to Melbourne in their QSuite, nothing but praises! Food outstanding, wine list outstanding, seat (and sleep) comfort outstanding: you can’t get it any better!",Business,Business Class,February 2024,Boeing 787 / 777,Frankfurt to Melbourne via Doha,Frankfurt,Doha,Melbourne,1.0,Yes
2024-02-03,7.0,10.0,R Turnley,Australia,"""No other airline comes anywhere close""","  I flew Qatar Airways during the COVID pandemic and they were wonderful in the air but not so good on the ground. At Doha , passengers are jammed in a small boarding area with insufficient seats or air conditioning and the boarding proceeds in an undignified scramble. Once on board, the Qatar quality starts. Welcoming drink, a very spacious Q suite and a comfortable seat. Dinner was delicious with a dry Riesling and later on breakfast was equally good. No other airline comes anywhere close to Qatar.",Solo Leisure,Business Class,January 2024,Boeing 777-300,Doha to Adelaide,Doha,Direct,Adelaide,1.0,no
2024-01-27,1.0,10.0,Peter Dyson,United Kingdom,“it was not the standard expected”," Firstly I must state that on three of the legs of my journey to Penang and back to Birmingham were excellent. On 23 September boarded flight from Penang to Doha. There is a short hop from Penang to Phuket and the crew were very good, a special note for Melissa who was friendly, engaging and attentive and a credit to Qatar Airways. However everything changed when a new crew embarked at Phuket. They were sullen and unsmiling from the outset. Service was abysmal. Tablecloths were given as serviettes and getting a glass of wine or water was like getting blood from a stone. Distribution of food was chaotic. I am not sure if this was the fault of the Cabin Manager or the individual flight attendants or some disagreement among the crew. Whatever, it was not the standard expected from business class on Qatar. Shortly before landing the Cabin Manager did his rounds and I stated I was unhappy with the service...about 10 minutes later he returned and asked for more information. If Qatar Airways read these comments I hope they investigate this matter and it was a blotch on the otherwise excellent service I was provided by other aircrews.",Business,Business Class,January 2024,Boeing 777,Penang to Doha via Phuket,Penang,Phuket,Doha,1.0,no
2024-01-22,8.0,10.0,Karen Chan,Singapore,“cabin crews are friendly and professional”," First time travelling long distance by Qatar Airways. It was a 17hr flight. Cabin is well-maintained and clean, very spacious for 900/1000 series. The leg space was ample and seat space is great too. The cabin crews are friendly and professional but among them, there is 1 steward who went extra miles to make my journey extra special. He seems like the most junior one but he was very confident and helpful. As I was traveling with a broken foot, he assisted me with my hand carry bags till the point I left the cabin (taken over by ground staff). Every crew did their jobs but he made an extra effort to help a passenger. Thank You for his kindness.",Solo Leisure,Economy Class,January 2024,A350-900/1000,Spain to Singapore via Doha,Spain,Doha,Singapore,1.0,Yes
